asset,devicename,alarm_id,device_id,"FROM_UNIXTIME(start_ts / 1000)","FROM_UNIXTIME(clear_ts / 1000)","FROM_UNIXTIME(end_ts / 1000)",severity,status,type,ack_duration,alarm_duration
Factory1,F1_Device1,941224c0-3116-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 11:56:03.1480","2020-01-07 11:56:23.1960","2020-01-07 11:56:03.1480","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,4a2519b0-310e-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 10:56:43.1460","2020-01-07 10:57:03.2500","2020-01-07 10:56:43.1460","2020-01-07 11:58:32.4610",CLEARED_ACK,Voltage,3709315,0
Factory1,F1_Device2,544419b0-3108-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 10:14:03.1470","2020-01-07 10:14:23.1460","2020-01-07 10:14:03.1470","2020-01-07 11:58:56.2410",CLEARED_ACK,Temperature,6293094,0
Factory1,F1_Device2,f2a7ebd0-314f-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 18:46:43.1490","2020-01-07 18:47:03.1470","2020-01-07 18:46:43.1490","1970-01-01 05:30:00.0000",CLEARED_UNACK,Voltage,0,0
Factory1,F1_Device2,04ae94e0-3101-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 09:21:43.1490","2020-01-07 09:22:23.1470","2020-01-07 09:22:03.1480","2020-01-07 11:59:21.7940",CLEARED_ACK,Voltage,9458645,19999
Factory1,F1_Device3,e7892db0-3116-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 11:58:23.1780","2020-01-07 11:59:23.1740","2020-01-07 11:59:03.2800","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,40102
Factory1,F1_Device2,06e5ebd0-3144-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 17:21:23.1490","2020-01-07 17:21:43.1480","2020-01-07 17:21:23.1490","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device1,b164f630-3150-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 18:52:03.1540","2020-01-07 18:52:23.1560","2020-01-07 18:52:03.1540","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device1,4daba8f0-317d-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 00:11:23.1980","2020-01-08 00:11:43.1460","2020-01-08 00:11:23.1980","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,c9fd11d0-31a2-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 04:39:43.1480","2020-01-08 04:40:03.1460","2020-01-08 04:39:43.1480","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
